cve_id,published,last_modified,vuln_status,description,cvss_score,cvss_version,cwe,references,is_kev,kev_name,kev_date_added,kev_action,epss_score,cwe_description,severity,days_old,cvss_norm,epss_norm,attack_type,classify_method,priority_score,priority_tier
CVE-2026-48172,2026-05-21 00:38:04.489000+00:00,2026-05-27 03:55:24.811000+00:00,PUBLISHED,"LiteSpeed User-End cPanel Plugin before 2.4.5 allows privilege escalation (possibly to root), as exploited in the wild in May 2026. Detection is best done via a command line of grep -rE ""cpanel_jsonapi_func=redisAble"" /var/cpanel/logs /usr/local/cpanel/logs/ 2>/dev/null in Bash. If you get no output, you have not been hit with exploitation of the vulnerability. If there is output, we recommend you examine the IP addresses in the list, determine if they are valid IP addresses, and if not, block them. To determine damage done, examine the system logs for use by the detected IP addresses. The issue is related to mishandling of Redis enable/disable features. The recommended minimum version is 2.4.7.",10.0,4.0,CWE-266,[],1,LiteSpeed cPanel Plugin Privilege Escalation Vulnerability,2026-05-26,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.877,Privilege Escalation,Critical,31,1.0,0.877,Privilege Escalation,CWE,0.957,P1 - Immediate
CVE-2026-10520,2026-06-09 14:10:21.581000+00:00,2026-06-12 03:55:15.947000+00:00,PUBLISHED,"An OS Command Injection vulnerability in Ivanti Sentry before the R10.5.2, R10.6.2 and R10.7.1 versions allows a remote unauthenticated user to achieve root-level remote code execution",10.0,3.1,CWE-78,[],1,Ivanti Sentry OS Command Injection Vulnerability,2026-06-11,"Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines.",0.8699,Command Injection,Critical,11,1.0,0.8699,Command Injection,CWE,0.9545,P1 - Immediate
CVE-2026-41940,2026-04-29 15:10:37.899000+00:00,2026-05-06 15:48:18.270000+00:00,PUBLISHED,cPanel and WHM versions after 11.40 contain an authentication bypass vulnerability in the login flow that allows unauthenticated remote attackers to gain unauthorized access to the control panel.,9.3,4.0,CWE-306,[],1,WebPros cPanel & WHM and WP2 (WordPress Squared) Missing Authentication for Critical Function Vulnerability,2026-04-30,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.9343,Authentication Bypass,Critical,52,0.93,0.9343,Authentication Bypass,CWE,0.949,P1 - Immediate
CVE-2026-45247,2026-05-26 14:15:33.596000+00:00,2026-06-04 03:55:44.156000+00:00,PUBLISHED,Mirasvit Full Page Cache Warmer for Magento 2 before version 1.11.12 contains a PHP object injection vulnerability that allows unauthenticated attackers to achieve remote code execution by supplying a crafted serialized PHP object in the CacheWarmer cookie. Attackers can exploit the unrestricted call to PHP's native unserialize() function combined with gadget chains available in Magento and its dependencies to execute arbitrary code on the server.,9.3,4.0,CWE-502,[],1,Mirasvit Full Page Cache Warmer Deserialization of Untrusted Data Vulnerability,2026-06-03,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.9293,Insecure Deserialisation,Critical,25,0.93,0.9293,Insecure Deserialisation,CWE,0.9473,P1 - Immediate
CVE-2026-35273,2026-06-11 02:25:15.375000+00:00,2026-06-13 03:55:27.796000+00:00,PUBLISHED,"Vulnerability in the PeopleSoft Enterprise PeopleTools product of Oracle PeopleSoft (component: Updates Environment Management). Supported versions that are affected are 8.61 and 8.62. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise PeopleSoft Enterprise PeopleTools. Successful attacks of this vulnerability can result in takeover of PeopleSoft Enterprise PeopleTools. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H).",9.8,3.1,,[],1,Oracle PeopleSoft Enterprise PeopleTools Missing Authentication for Critical Function Vulnerability,2026-06-12,"Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines.",0.826,,Critical,10,0.9800000000000001,0.826,Other / Unknown,unknown,0.9311,P1 - Immediate
CVE-2025-34291,2025-12-05 22:27:26.438000+00:00,2026-05-22 03:55:45.916000+00:00,PUBLISHED,Langflow versions up to and including 1.6.9 contain a chained vulnerability that enables account takeover and remote code execution. An overly permissive CORS configuration (allow_origins='*' with allow_credentials=True) combined with a refresh token cookie configured as SameSite=None allows a malicious webpage to perform cross-origin requests that include credentials and successfully call the refresh endpoint. An attacker-controlled origin can therefore obtain fresh access_token / refresh_token pairs for a victim session. Obtained tokens permit access to authenticated endpoints — including built-in code-execution functionality — allowing the attacker to execute arbitrary code and achieve full system compromise.,9.4,4.0,CWE-346,[],1,Langflow Origin Validation Error Vulnerability,2026-05-21,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8416,,Critical,197,0.9400000000000001,0.8416,Code Injection / RCE,keyword,0.9206,P1 - Immediate
CVE-2026-42271,2026-05-08 03:35:16.758000+00:00,2026-06-09 03:55:26.815000+00:00,PUBLISHED,"LiteLLM is a proxy server (AI Gateway) to call LLM APIs in OpenAI (or native) format. From version 1.74.2 to before version 1.83.7, two endpoints used to preview an MCP server before saving it — POST /mcp-rest/test/connection and POST /mcp-rest/test/tools/list — accepted a full server configuration in the request body, including the command, args, and env fields used by the stdio transport. When called with a stdio configuration, the endpoints attempted to connect, which spawned the supplied command as a subprocess on the proxy host with the privileges of the proxy process. The endpoints were gated only by a valid proxy API key, with no role check. Any authenticated user — including holders of low-privilege internal-user keys — could therefore run arbitrary commands on the host. This issue has been patched in version 1.83.7.",8.7,4.0,CWE-77,[],1,BerriAI LiteLLM Command Injection Vulnerability,2026-06-08,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.9195,Command Injection,High,44,0.8699999999999999,0.9195,Command Injection,CWE,0.9198,P1 - Immediate
CVE-2026-45321,2026-05-12 00:12:35.452000+00:00,2026-05-28 03:55:26.991000+00:00,PUBLISHED,"On 2026-05-11, between approximately 19:20 and 19:26 UTC, 84 malicious versions across 42 @tanstack/* packages were published to the npm registry. The publishes were authenticated via the legitimate GitHub Actions OIDC trusted-publisher binding for TanStack/router, but the publish workflow itself was not modified. The attacker chained three known vulnerability classes — a pull_request_target ""Pwn Request"" misconfiguration, GitHub Actions cache poisoning across the fork↔base trust boundary, and runtime memory extraction of the OIDC token from the Actions runner process — to publish credential-stealing malware under a trusted identity. Each affected package received exactly two malicious versions, published a few minutes apart.",9.6,3.1,CWE-506,[],1,TanStack Unspecified Vulnerability,2026-05-27,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8093,,Critical,40,0.96,0.8093,Other / Unknown,unknown,0.9173,P1 - Immediate
CVE-2026-48907,2026-06-05 07:31:30.257000+00:00,2026-06-20 11:56:48.886000+00:00,PUBLISHED,"A vulnerability in the JCE editor extension for Joomla allows the creation of new editor profiles for unauthenticated users, ultimately resulting in PHP code upload and execution.",10.0,4.0,CWE-284,[],1,Widget Factory Joomla Content Editor Improper Access Control Vulnerability,2026-06-16,"Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines.",0.7505,Broken Access Control,Critical,16,1.0,0.7505,Broken Access Control,CWE,0.9127,P1 - Immediate
CVE-2026-8398,2026-05-15 07:30:29.287000+00:00,2026-05-28 03:55:20.809000+00:00,PUBLISHED,"A supply chain attack compromised the official installation packages of DAEMON Tools Lite (Windows versions 12.5.0.2421 through 12.5.0.2434), distributed from the legitimate website daemon-tools.cc between approximately April 8, 2026, and May 5, 2026. Attackers gained unauthorized access to the vendor's (AVB Disc Soft) build or distribution infrastructure and trojanized three binaries: DTHelper.exe, DiscSoftBusServiceLite.exe, and DTShellHlp.exe. These files were digitally signed with the legitimate AVB Disc Soft code-signing certificate, allowing the malicious installers to appear trustworthy and bypass signature-based detection.",9.8,3.1,CWE-506,[],1,Daemon Tools Lite Embedded Malicious Code Vulnerability,2026-05-27,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7254,,Critical,37,0.9800000000000001,0.7254,Other / Unknown,unknown,0.8959,P1 - Immediate
